T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
1,False,Australia,2/17/2005,Australia,214,5,20.0,10.7,New Zealand,170,10,20.0,8.5,Eden Park,Auckland,New  Zealand
2,False,England,6/13/2005,England,179,8,20.0,8.95,Australia,79,10,14.3,5.448275862,The Rose Bowl,Southampton,England
3,False,New Zealand,10/21/2005,South Africa,133,10,19.3,6.65,New Zealand,134,5,18.0,6.7,New Wanderers Stadium,Johannesburg,South Africa
4,False,Australia,1/9/2006,Australia,209,3,20.0,10.45,South Africa,114,10,18.3,6.162162162,Brisbane Cricket Ground,Brisbane,Australia
5,False,Tie,2/16/2006,West Indies,126,7,20.0,6.3,New Zealand,126,8,20.0,6.3,Eden Park,Auckland,New  Zealand
6,False,South Africa,2/24/2006,South Africa,201,4,20.0,10.05,Australia,199,7,20.0,9.95,New Wanderers Stadium,Johannesburg,South Africa
7,False,Sri Lanka,6/15/2006,Sri Lanka,163,10,20.0,8.15,England,161,5,20.0,8.05,The Rose Bowl,Southampton,England
8,False,Pakistan,8/28/2006,England,144,7,20.0,7.2,Pakistan,148,5,17.5,8.299065421,County Ground,Bristol,England
9,False,Bangladesh,11/28/2006,Bangladesh,166,10,19.5,8.3,Zimbabwe,123,9,20.0,6.15,Khulna Divisional Stadium,Khulna,Bangladesh
10,False,India,12/1/2006,South Africa,126,9,20.0,6.3,India,127,4,19.5,6.403361345,New Wanderers Stadium,Johannesburg,South Africa
11,False,Sri Lanka,12/22/2006,New Zealand,162,8,20.0,8.1,Sri Lanka,62,1,5.5,10.62857143,Westpac Stadium,Wellington,New Zealand
12,False,New Zealand,12/26/2006,Sri Lanka,115,10,18.2,5.75,New Zealand,116,5,18.3,5.8,Eden Park,Auckland,New  Zealand
13,False,Australia,1/9/2007,Australia,221,5,20.0,11.05,England,144,9,20.0,7.2,Sydney Cricket Ground,Sydney,Australia
14,False,South Africa,2/2/2007,Pakistan,129,8,20.0,6.45,South Africa,132,0,11.3,11.47826087,New Wanderers Stadium,Johannesburg,South Africa
15,False,West Indies,6/28/2007,West Indies,208,8,20.0,10.4,England,193,7,20.0,9.65,Kennington Oval,London,England
16,False,England,6/29/2007,West Indies,169,7,20.0,8.45,England,173,5,19.3,8.871794872,Kennington Oval,London,England
17,False,Bangladesh,9/1/2007,Kenya,138,7,20.0,6.9,Bangladesh,139,5,17.4,7.867924528,Gymkhana Club Ground,Nairobi,Kenya
18,False,Pakistan,9/2/2007,Pakistan,191,7,20.0,9.55,Bangladesh,161,7,20.0,8.05,Gymkhana Club Ground,Nairobi,Kenya
19,False,Pakistan,9/4/2007,Kenya,92,10,19.4,4.6,Pakistan,93,2,14.0,4.65,Gymkhana Club Ground,Nairobi,Kenya
20,True,South Africa,9/11/2007,West Indies,205,6,20.0,10.25,South Africa,208,2,17.4,11.77358491,New Wanderers Stadium,Johannesburg,South Africa
21,True,New Zealand,9/12/2007,Kenya,73,10,16.5,3.65,New Zealand,74,1,7.4,3.7,Kingsmead,Durban,South Africa
22,True,Pakistan,9/12/2007,Pakistan,171,9,20.0,8.55,Scotland,120,10,19.5,6.050420168,Kingsmead,Durban,South Africa
23,True,Zimbabwe,9/12/2007,Australia,138,9,20.0,6.9,Zimbabwe,139,5,19.5,7.008403361,Newlands,Cape Town,South Africa
24,True,Bangladesh,9/13/2007,West Indies,164,8,20.0,8.2,Bangladesh,165,4,18.0,9.166666667,New Wanderers Stadium,Johannesburg,South Africa
25,True,England,9/13/2007,England,188,9,20.0,9.4,Zimbabwe,138,7,20.0,6.9,Newlands,Cape Town,South Africa
26,True,No Result,9/13/2007,India,0,0,0.0,,Scotland,0,0,0.0,,Kingsmead,Durban,South Africa
27,True,Sri Lanka,9/14/2007,Sri Lanka,260,6,20.0,13.0,Kenya,88,9,19.3,4.512820513,New Wanderers Stadium,Johannesburg,South Africa
28,True,Australia,9/14/2007,England,135,10,20.0,6.75,Australia,136,2,14.5,6.8,Newlands,Cape Town,South Africa
29,True,Tie,9/14/2007,India,141,9,20.0,7.05,Pakistan,141,7,20.0,7.05,Kingsmead,Durban,South Africa
30,True,Sri Lanka,9/15/2007,New Zealand,164,7,20.0,8.2,Sri Lanka,168,3,18.5,8.920353982,New Wanderers Stadium,Johannesburg,South Africa
31,True,South Africa,9/15/2007,Bangladesh,144,10,19.3,7.2,South Africa,146,3,18.5,7.3,Newlands,Cape Town,South Africa
32,True,New Zealand,9/16/2007,New Zealand,190,10,20.0,9.5,India,180,9,20.0,9.0,New Wanderers Stadium,Johannesburg,South Africa
33,True,Australia,9/16/2007,Bangladesh,123,8,20.0,6.15,Australia,124,1,13.5,8.963855422,Newlands,Cape Town,South Africa
34,True,South Africa,9/16/2007,South Africa,154,8,20.0,7.7,England,135,7,20.0,6.75,Newlands,Cape Town,South Africa
35,True,Pakistan,9/17/2007,Pakistan,189,6,20.0,9.45,Sri Lanka,156,9,20.0,7.8,New Wanderers Stadium,Johannesburg,South Africa
36,True,New Zealand,9/18/2007,New Zealand,164,9,20.0,8.2,England,159,8,20.0,7.95,Kingsmead,Durban,South Africa
37,True,Pakistan,9/18/2007,Australia,164,7,20.0,8.2,Pakistan,165,4,19.1,8.608695652,New Wanderers Stadium,Johannesburg,South Africa
38,True,Sri Lanka,9/18/2007,Sri Lanka,147,5,20.0,7.35,Bangladesh,83,10,15.5,5.242105263,New Wanderers Stadium,Johannesburg,South Africa
39,True,South Africa,9/19/2007,New Zealand,153,8,20.0,7.65,South Africa,158,4,19.1,8.243478261,Kingsmead,Durban,South Africa
40,True,India,9/19/2007,India,218,4,20.0,10.9,England,200,6,20.0,10.0,Kingsmead,Durban,South Africa
41,True,Australia,9/20/2007,Sri Lanka,101,10,19.3,5.05,Australia,102,0,10.2,5.1,Newlands,Cape Town,South Africa
42,True,Pakistan,9/20/2007,Bangladesh,140,10,19.4,7.0,Pakistan,141,6,19.0,7.05,Newlands,Cape Town,South Africa
43,True,India,9/20/2007,India,153,5,20.0,7.65,South Africa,116,9,20.0,5.8,Kingsmead,Durban,South Africa
44,True,Pakistan,9/22/2007,New Zealand,143,8,20.0,7.15,Pakistan,147,4,18.5,7.805309735,Newlands,Cape Town,South Africa
45,True,India,9/22/2007,India,188,5,20.0,9.4,Australia,173,7,20.0,8.65,Kingsmead,Durban,South Africa
46,True,India,9/24/2007,India,157,5,20.0,7.85,Pakistan,152,10,19.3,7.794871795,New Wanderers Stadium,Johannesburg,South Africa
47,True,India,10/20/2007,Australia,166,5,20.0,8.3,India,167,3,18.1,9.19266055,Brabourne Stadium,Mumbai,India
48,False,South Africa,11/23/2007,New Zealand,129,7,20.0,6.45,South Africa,131,7,19.5,6.605042017,New Wanderers Stadium,Johannesburg,South Africa
49,False,Australia,12/11/2007,Australia,186,6,20.0,9.3,New Zealand,132,10,18.3,7.135135135,Western Australia Cricket Association Ground,Perth,Australia
50,False,West Indies,12/16/2007,South Africa,58,8,13.0,4.461538462,West Indies,60,5,9.5,6.101694915,St George's Park,Gqeberha,South Africa
51,False,South Africa,1/18/2008,West Indies,131,7,20.0,6.55,South Africa,134,6,19.2,6.931034483,New Wanderers Stadium,Johannesburg,South Africa
52,False,Australia,2/1/2008,India,74,10,17.3,3.7,Australia,75,1,11.2,3.75,Melbourne Cricket Ground,Melbourne,Australia
53,False,England,2/5/2008,England,184,8,20.0,9.2,New Zealand,152,10,19.2,7.862068966,Eden Park,Auckland,New  Zealand
54,False,England,2/7/2008,England,193,8,20.0,9.65,New Zealand,143,8,20.0,7.15,Jade Stadium,Christchurch,New Zealand
55,False,Pakistan,4/20/2008,Pakistan,203,5,20.0,10.15,Bangladesh,101,10,16.0,6.3125,National Stadium,Karachi,Pakistan
56,False,England,6/13/2008,New Zealand,123,9,20.0,6.15,England,127,1,17.3,7.257142857,Old Trafford,Manchester,England
57,False,West Indies,6/20/2008,Australia,97,3,11.0,8.818181818,West Indies,102,3,9.1,11.12727273,Kensington Oval,Bridgetown,West Indies
58,False,Netherlands,8/2/2008,Netherlands,153,5,20.0,7.65,Kenya,134,9,20.0,6.7,Civil Service Cricket Club,Belfast,Northern Ireland
59,False,Ireland,8/2/2008,Scotland,117,10,20.0,5.85,Ireland,118,6,19.5,5.9,Civil Service Cricket Club,Belfast,Northern Ireland
60,False,Canada,8/2/2008,Netherlands,97,10,18.4,4.85,Canada,99,6,19.3,4.95,Civil Service Cricket Club,Belfast,Northern Ireland
61,False,Scotland,8/3/2008,Bermunda,99,7,20.0,4.95,Scotland,100,2,17.4,5.660377358,Civil Service Cricket Club,Belfast,Northern Ireland
62,False,Kenya,8/3/2008,Canada,91,10,19.4,4.55,Kenya,92,6,17.5,4.6,Civil Service Cricket Club,Belfast,Northern Ireland
63,False,Ireland,8/3/2008,Ireland,43,7,9.0,4.777777778,Bermunda,41,8,9.0,4.555555556,Civil Service Cricket Club,Belfast,Northern Ireland
64,False,Ireland,8/4/2008,Kenya,67,10,17.2,3.35,Ireland,72,6,19.1,3.6,Civil Service Cricket Club,Belfast,Northern Ireland
