Rank,Country,Rating
1,England,2099
2,India,2094
3,Pakistan,2056
4,New Zealand,2039
5,Australia,2033
6,South Africa,2016
7,Sri Lanka,1838
8,West Indies,1807
9,Afghanistan,1789
10,Bangladesh,1747
11,Ireland,1720
12,Netherlands,1708
13,Zimbabwe,1704
14,UAE,1656
15,Namibia,1650
16,Uganda,1640
17,Scotland,1640
18,Nepal,1640
19,Belgium,1631
20,Tanzania,1630
21,Austria,1623
22,Romania,1617
23,Canada,1613
24,Italy,1595
25,Jersey,1595
26,Spain,1593
27,Germany,1586
28,USA,1575
29,Qatar,1574
30,Malaysia,1569
31,Kuwait,1563
32,Portugal,1555
33,Denmark,1554
34,Isle of Man,1549
35,Japan,1538
36,Kenya,1537
37,Saudi Arabia,1534
38,Argentina,1530
39,Cyprus,1522
40,Czech Republic,1521
41,Malawi,1516
42,Ghana,1515
43,Indonesia,1515
44,Bahrain,1506
45,Oman,1504
46,Guernsey,1503
47,Papua New Guinea,1503
48,Vanuatu,1499
49,Peru,1498
50,Finland,1497
51,Fiji,1492
52,Cook Islands,1490
53,Switzerland,1489
54,Bermunda,1489
55,Mozambique,1486
56,France,1484
57,Chile,1483
58,Sweden,1482
59,Hong Kong,1481
60,Cayman Islands,1476
61,Israel,1476
62,Botswana,1474
63,Norway,1473
64,Mexico,1473
65,Malta,1471
66,Costa Rica,1468
67,Luxembourg,1461
68,Rwanda,1458
69,Swaziland,1455
70,Croatia,1453
71,Brazil,1451
72,Hungary,1447
73,South Korea,1447
74,Slovenia,1446
75,Bhutan,1443
76,Seychelles,1443
77,Samoa,1437
78,Greece,1437
79,Belize,1436
80,Singapore,1433
81,Lesotho,1430
82,Sierra Leone,1426
83,Eswatini,1422
84,Panama,1421
85,Iran,1420
86,Philippines,1406
87,Cameroon,1394
88,Nigeria,1388
89,Bahamas,1384
90,Serbia,1383
91,Bulgaria,1382
92,Estonia,1372
93,Turkey,1363
94,Gibraltar,1352
95,Thailand,1346
96,Maldives,1328
